Question,answer
 do u have milkshake,Hello! How may I help you.
 i will take one Avocado Shake and 2 Salted Caramel Pretzel ,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
i will take one Chocolate and Vanila Combo and 5 americano,Sir thanks for your order. You have ordered 1 Avocado Shake   and 2 Salted Caramel Pretzel .Please wait for sometime.
anything special,Sir thanks for your order. You have ordered 1 Chocolate and Vanila Combo and 5 americano.Please wait for sometime.
suggest something,
suggest something,
what do u think we should have,
what special do u have,
 hello,"Pardon please, what you want ?"
what special do u have,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
do you have h," Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have milkshake,"Pardon please, what you want ?"
give me two red velvet please,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
thank you,Sure! 2 red velvet are on way. Please wait for sometime.
hey,Would you like indian filter coffee.
give me two red velvet please,Hello! How may I help you.
thank you,Sure! 2 red velvet are on way. Please wait for sometime.
hey,Would you like indian filter coffee.
what is in the menu,Hello! How may I help you.
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
anything special,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
do u have dirty coffee,"
Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
do u have good pastery,"No sir, but why."
do you have  pastery,Yes sir
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco ?","
Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco?",Yes we have your choice in our cafe.
what special do u have,Yes we have your choice in our cafe.
hello,"  Pardon please, what you want ?"
 what special do u have,  Hello! How may I help you.
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
what do you have,"  Pardon please, what you want ?"
what do you have pastery?,"Pardon please, what you want ?"
hey,"Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
do u have pastery?,Hello! How may I help you.
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
I will take one Mix Cupcake and 2 Strawberry Traimisu.,
anything special,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
"do You have Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco.","We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 do you have pastery,Yes we have your choice in our cafe.
 do you have Waffel Ice-cream?,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
 do you have pastery?,  Yes we have your choice in our cafe.
 what do you have,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
"
do You have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque.?","  Pardon please, what you want ?"
"
do You have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque.?",Yes we have your choice in our cafe.
"do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
no can u suggest something else,Yes we have your choice in our cafe.
do u have bad pastery?,Hope you like to have waffle ice-cream.
what should i take,"No sir, but why."
,"Pardon, may i suggest you a red velvet."
ok i will have two waffle ice-cream.,
what should i take,Sure! 2 caffe latte are on way. Please wait for sometime.
ok i will take one,Hope you like to red velvet.
hey,"Pardon, may i suggest you a waffel choco."
do u have pastery,Hello! How may I help you.
What do you  have?,"Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
I will take one Red Velvet and 2 Strawberry Traimisu.,What would you like to have?
I will take one Red Velvet and 2 Strawberry Traimisu.,Sir thanks for your order. You have ordered 1 Red Velvet and 2 Strawberry Traimisu.Please wait for sometime.
anything special,Sir thanks for your order. You have ordered 1 Red Velvet and 2 Strawberry Traimisu.Please wait for sometime.
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
,
,
what special do u have,
hello,"  Pardon please, what you want ?"
 what special do u have,  Hello! How may I help you.
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
what special do u have,"  Pardon please, what you want ?"
 hello,"Pardon please, what you want ?"
what special do u have,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
hey," Pardon please, what you want ?"
 do u have pastery?,Hello! How may I help you.
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"
Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime."
do you have h,"
Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime."
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do u have," Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
do u have puff pastery,"Pardon please, what you want ?"
I will take one  Blueberry Puff and 2  French Pastery,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
i will take one Cinnimon Orange rolls and 5 Simple Cherry Puff,Sir thanks for your order. You have ordered Blueberry Puff and 2  French Pastery.Please wait for sometime.
i will take one Nutella Puff  and 3 Egg Puff,Sir thanks for your order. You have ordered 1  Cinnimon Orange rolls and 5 Simple Cherry Puff.please wait for sometime.
,Sir thanks for your order. You have ordered one  Nutella Puff  and 3 Egg Puff.Please wait for sometime.
,
"do You have Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff.",
"Do You have Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.
",Yes we have your choice in our cafe.
"do u have Tanuki,Tomato Cheese,Blueberry Puff.",Yes we have your choice in our cafe.
what special do u have,Yes we have your choice in our cafe.
hello,"  Prdon please, what you want ?"
 what special do u have,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have in puff pastery,"  Prdon please, what you want ?"
 do you have Blueberry Puff,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
what do you have in puff pastery,  Yes we have your choice in our cafe.
 what do you have,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
hey,"  Prdon please, what you want ?"
 do u have puff pastery,Hello! How may I help you.
 i will take one Keto Puff and 2 Blaeter  tertei Puff,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
"i will take one Rough Puff,Simple Cherry Puff and 2 Tomato Cheese puff.",Sir thanks for your order. You have ordered 1 Keto Puff and 2 Blaeter  tertei Puff.Please wait for sometime.
"do you have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores","Sir thanks for your order. You have ordered 1 Rough Puff,Simple Cherry Puff and 2 Tomato Cheese puff.Please wait for sometime."
"Do You have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
"do u have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
what special do u have,Yes we have your choice in our cafe.
hello,"  Prdon please, what you want ?"
 what special do u have,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have milkshake,"  Prdon please, what you want ?"
 do you have espresso,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 do you have milkshake,  Yes we have your choice in our cafe.
 what do you have,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
hey,"  Prdon please, what you want ?"
 do u have milkshake,Hello! How may I help you.
 i will take one Avocado Shake and 2 Salted Caramel Pretzel ,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
i will take one Chocolate and Vanila Combo and 5 americano,Sir thanks for your order. You have ordered 1 Avocado Shake   and 2 Salted Caramel Pretzel .Please wait for sometime.
anything special,Sir thanks for your order. You have ordered 1 Chocolate and Vanila Combo and 5 americano.Please wait for sometime.
suggest something,
suggest something,
what do u think we should have,
what special do u have,
 hello,"Pardon please, what you want ?"
what special do u have,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
do you have h," Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have milkshake,"Pardon please, what you want ?"
do you have Chocolate and Vanila Combo,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
do you have milkshake,Yes we have your choice in our cafe.
what do you have,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
what can i get,"Pardon please, what you want ?"
what you have,"Pardon please, what you want?"
what u have,"Pardon please, what you want ?"
what u have,"Pardon please, what you want ?  Do you like to have cappccino."
what u have,"Pardon, may i suggest you a hazelnut cappccino."
what u have,"Pardon, may i suggest you a cafe mocha."
what u have,"Pardon please, what you want? Do you like to have cappccino."
what u have,Would you like indian filter coffee.
what u have,"Pardon, may i suggest you a cappccino."
excuse me do u have espresso,"Sorry , would you likeamericano."
hello,Yes we have your choice in our cafe.
can i get have a milkshake,What you would like to have.
get me a Banana Cream treat,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
i would like to Banana Cream treat,Sure! a Banana Cream treat is on its way. Please wait for sometime.
i would like to Smores,Sure! a Banana Cream treat  is on its way. Please wait for sometime.
need a milkshake,Sure! a Smores is on its way. Please wait for sometime.
need a Cotton candy shake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
want a Salted Caramel Pretze,Sure! a Cotton candy shake is on its way. Please wait for sometime.
have you Mix Fruit Smothie,Sure! a Salted Caramel Pretze is on its way. Please wait for sometime.
have you milkshake,Sure! a Mix Fruit Smothie is on its way. Please wait for sometime.
can i get extra sugar,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
I will have you espresso,"Sure sir, I will just get you sugar."
do you have espresso,Sure! a espresso is on its way. Please wait for sometime.
can u serve me,Yes we have your choice in our cafe.
do u have,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
,"Sorry , would you likecappccino."
do u have,WARNING:werkzeug: * Debugger is active!
can i get extra sugar,"Pardon please, what you want? Do you like to have americano."
what can i get,"Sure sir, I will just get you sugar."
what you have,Would you like americano.
what you have,"Pardon please, what you want? Do you like to have indian filter coffee."
what you have,"Pardon, may i suggest you a americano."
what you have,"Sorry , would you like cappccino."
what you have,"Pardon, may i suggest you a caffe latte."
what you have,Would you like espresso.
what you have,"Sorry , would you like hazelnut cappccino."
what you have,"Pardon, may i suggest you a caffe latte."
what you have,Hope you like to have irish cappccino.
do u have espresso,"Sorry , would you like irish cappccino."
do u have water,Yes we have your choice in our cafe.
hey,yes would u like to have it
what is in the menu,Hello! How may I help you.
do u have something,"we have pastery , puff-pastery,coffee and milkshakes.What would you like to have?"
